"Factor","First","Seasonality","Age","Vaccine_Type","Impact"
"Coverage",0.0242381468306546,"sesonality1","18","AIV","0"
"initialEfficacy",0.105888747190064,"sesonality1","18","AIV","0"
"Degree_resistance",0.677975137717829,"sesonality1","18","AIV","0"
"Access",0.0348439817998651,"sesonality1","18","AIV","0"
"eir",0.0840192879405426,"sesonality1","18","AIV","1"
"half_life",0.0730346985210441,"sesonality1","18","AIV","0"
"Coverage",0.104914712787092,"sesonality1","0.75","AIV","0"
"initialEfficacy",0.206648050451396,"sesonality1","0.75","AIV","0"
"Degree_resistance",0.556575072175747,"sesonality1","0.75","AIV","0"
"Access",0.0119173985839694,"sesonality1","0.75","AIV","1"
"eir",0.00805878572684632,"sesonality1","0.75","AIV","0"
"half_life",0.11188598027495,"sesonality1","0.75","AIV","0"
"Coverage",0.0258847809227944,"sesonality2","18","AIV","0"
"initialEfficacy",0.103744808151977,"sesonality2","18","AIV","0"
"Degree_resistance",0.644653315501991,"sesonality2","18","AIV","0"
"Access",0.0401168117780606,"sesonality2","18","AIV","0"
"eir",0.116850758340815,"sesonality2","18","AIV","1"
"half_life",0.0687495253043613,"sesonality2","18","AIV","0"
"Coverage",0.0788794840016948,"sesonality2","0.75","AIV","0"
"initialEfficacy",0.199118408308904,"sesonality2","0.75","AIV","0"
"Degree_resistance",0.619376328692338,"sesonality2","0.75","AIV","0"
"Access",0,"sesonality2","0.75","AIV","1"
"eir",0,"sesonality2","0.75","AIV","0"
"half_life",0.102625778997064,"sesonality2","0.75","AIV","0"
"Coverage",0.0500036968289499,"sesonality2","Children","BSV","0"
"initialEfficacy",0.06019447782365,"sesonality2","Children","BSV","0"
"Degree_resistance",0.600322062167559,"sesonality2","Children","BSV","0"
"Access",0.0852264615816712,"sesonality2","Children","BSV","1"
"eir",0.174617921750742,"sesonality2","Children","BSV","0"
"half_life",0.0296353798474281,"sesonality2","Children","BSV","0"
"Coverage",0.0479599987225914,"sesonality2","Children","AIV","0"
"initialEfficacy",0.128026865427066,"sesonality2","Children","AIV","0"
"Degree_resistance",0.66161799785919,"sesonality2","Children","AIV","0"
"Access",0.0232101440014958,"sesonality2","Children","AIV","1"
"eir",0.0963779166851587,"sesonality2","Children","AIV","0"
"half_life",0.0428070773044984,"sesonality2","Children","AIV","0"
"Coverage",0.0460087181427516,"sesonality1","Children","AIV","0"
"initialEfficacy",0.113201827779615,"sesonality1","Children","AIV","0"
"Degree_resistance",0.69194255042198,"sesonality1","Children","AIV","0"
"Access",0.0286818889402767,"sesonality1","Children","AIV","1"
"eir",0.0518741955873204,"sesonality1","Children","AIV","0"
"half_life",0.0682908191280562,"sesonality1","Children","AIV","0"
"Coverage",0.0528147441103565,"sesonality1","Children","BSV","0"
"initialEfficacy",0.060812677464942,"sesonality1","Children","BSV","0"
"Degree_resistance",0.630753552643704,"sesonality1","Children","BSV","0"
"Access",0.0931804338602686,"sesonality1","Children","BSV","1"
"eir",0.117721955921833,"sesonality1","Children","BSV","0"
"half_life",0.0447166359988955,"sesonality1","Children","BSV","0"
