"Vaccine_type","half_life","Degree_resistance","Access","eir","seasonality","Age","Blood_coverage","IR"
"PEV",1,0,0.1,5,"sesonality2","Children","0",53.0375410561095
"BSV",1,0,0.1,5,"sesonality2","Children","0",47.1400218545297
"PEV",1,0.25,0.1,5,"sesonality2","Children","0",45.239369727349
"BSV",1,0.25,0.1,5,"sesonality2","Children","0",38.7582515634868
"PEV",1,0.5,0.1,5,"sesonality2","Children","0",36.7732740656741
"BSV",1,0.5,0.1,5,"sesonality2","Children","0",31.8062646425411
"PEV",1,0.75,0.1,5,"sesonality2","Children","0",30.2078285084191
"BSV",1,0.75,0.1,5,"sesonality2","Children","0",26.9995044575218
"PEV",1,1,0.1,5,"sesonality2","Children","0",25.2404235899774
"BSV",1,1,0.1,5,"sesonality2","Children","0",26.0657345946307
"PEV",1,0,0.1,5,"sesonality2","Children","0",55.5872282537555
"BSV",1,0,0.1,5,"sesonality2","Children","0",49.1336305209242
"PEV",1,0.25,0.1,5,"sesonality2","Children","0",47.9147497415805
"BSV",1,0.25,0.1,5,"sesonality2","Children","0",41.3963895059966
"PEV",1,0.5,0.1,5,"sesonality2","Children","0",41.1386410396579
"BSV",1,0.5,0.1,5,"sesonality2","Children","0",33.2948329295331
"PEV",1,0.75,0.1,5,"sesonality2","Children","0",33.1764298854556
"BSV",1,0.75,0.1,5,"sesonality2","Children","0",28.1960338224129
"PEV",1,1,0.1,5,"sesonality2","Children","0",25.1665567420021
"BSV",1,1,0.1,5,"sesonality2","Children","0",25.6459740517744
"PEV",1,0,0.1,5,"sesonality2","Children","0",55.6364198384447
"BSV",1,0,0.1,5,"sesonality2","Children","0",48.6130722442759
"PEV",1,0.25,0.1,5,"sesonality2","Children","0",47.7036645245545
"BSV",1,0.25,0.1,5,"sesonality2","Children","0",40.0094353709581
"PEV",1,0.5,0.1,5,"sesonality2","Children","0",39.2641199255571
"BSV",1,0.5,0.1,5,"sesonality2","Children","0",33.1639326208342
"PEV",1,0.75,0.1,5,"sesonality2","Children","0",31.7292346485392
"BSV",1,0.75,0.1,5,"sesonality2","Children","0",29.0130546962173
"PEV",1,1,0.1,5,"sesonality2","Children","0",26.4519357312722
"BSV",1,1,0.1,5,"sesonality2","Children","0",25.3887200711306
"PEV",1,0,0.1,5,"sesonality1","Children","0",39.4812547255161
"BSV",1,0,0.1,5,"sesonality1","Children","0",28.5559912746492
"PEV",1,0.25,0.1,5,"sesonality1","Children","0",34.4351828954646
"BSV",1,0.25,0.1,5,"sesonality1","Children","0",24.0869857188946
"PEV",1,0.5,0.1,5,"sesonality1","Children","0",30.3205868809747
"BSV",1,0.5,0.1,5,"sesonality1","Children","0",20.9449507793343
"PEV",1,0.75,0.1,5,"sesonality1","Children","0",25.4005104372024
"BSV",1,0.75,0.1,5,"sesonality1","Children","0",18.6433657768683
"PEV",1,1,0.1,5,"sesonality1","Children","0",21.3141388231658
"BSV",1,1,0.1,5,"sesonality1","Children","0",18.9917542709565
"PEV",1,0,0.1,5,"sesonality1","Children","0",37.6784718862765
"BSV",1,0,0.1,5,"sesonality1","Children","0",26.737419896466
"PEV",1,0.25,0.1,5,"sesonality1","Children","0",32.8564605101099
"BSV",1,0.25,0.1,5,"sesonality1","Children","0",21.757082541072
"PEV",1,0.5,0.1,5,"sesonality1","Children","0",28.9113566544262
"BSV",1,0.5,0.1,5,"sesonality1","Children","0",19.3068770930132
"PEV",1,0.75,0.1,5,"sesonality1","Children","0",23.5517682148816
"BSV",1,0.75,0.1,5,"sesonality1","Children","0",17.7455836960073
"PEV",1,1,0.1,5,"sesonality1","Children","0",18.2744579589505
"BSV",1,1,0.1,5,"sesonality1","Children","0",16.842981352601
"PEV",1,0,0.1,5,"sesonality1","Children","0",35.5565129958707
"BSV",1,0,0.1,5,"sesonality1","Children","0",26.6983497065254
"PEV",1,0.25,0.1,5,"sesonality1","Children","0",31.0624754142513
"BSV",1,0.25,0.1,5,"sesonality1","Children","0",22.6630576001687
"PEV",1,0.5,0.1,5,"sesonality1","Children","0",26.5257539364802
"BSV",1,0.5,0.1,5,"sesonality1","Children","0",18.9309686591858
"PEV",1,0.75,0.1,5,"sesonality1","Children","0",22.0630212933937
"BSV",1,0.75,0.1,5,"sesonality1","Children","0",16.973959100417
"PEV",1,1,0.1,5,"sesonality1","Children","0",17.2839070406543
"BSV",1,1,0.1,5,"sesonality1","Children","0",15.2347712569493
"PEV",1,0,0.1,5,"sesonality2","Children","1",57.3323851333246
"BSV",1,0,0.1,5,"sesonality2","Children","1",48.5290060706646
"PEV",1,0.25,0.1,5,"sesonality2","Children","1",48.9902970823814
"BSV",1,0.25,0.1,5,"sesonality2","Children","1",40.3294147660666
"PEV",1,0.5,0.1,5,"sesonality2","Children","1",42.2018178803405
"BSV",1,0.5,0.1,5,"sesonality2","Children","1",34.971591458238
"PEV",1,0.75,0.1,5,"sesonality2","Children","1",34.8161693801478
"BSV",1,0.75,0.1,5,"sesonality2","Children","1",31.1191071954433
"PEV",1,1,0.1,5,"sesonality2","Children","1",27.6289502935032
"BSV",1,1,0.1,5,"sesonality2","Children","1",28.2176181524974
"PEV",1,0,0.1,5,"sesonality2","Children","1",57.6810001520513
"BSV",1,0,0.1,5,"sesonality2","Children","1",49.5053476748981
"PEV",1,0.25,0.1,5,"sesonality2","Children","1",50.0408884880607
"BSV",1,0.25,0.1,5,"sesonality2","Children","1",42.5220615769694
"PEV",1,0.5,0.1,5,"sesonality2","Children","1",42.3642377008942
"BSV",1,0.5,0.1,5,"sesonality2","Children","1",36.9324671165431
"PEV",1,0.75,0.1,5,"sesonality2","Children","1",35.035268460197
"BSV",1,0.75,0.1,5,"sesonality2","Children","1",33.2161252167862
"PEV",1,1,0.1,5,"sesonality2","Children","1",30.0899166369651
"BSV",1,1,0.1,5,"sesonality2","Children","1",29.1341760555576
"PEV",1,0,0.1,5,"sesonality2","Children","1",57.9315316827517
"BSV",1,0,0.1,5,"sesonality2","Children","1",48.6823483452274
"PEV",1,0.25,0.1,5,"sesonality2","Children","1",50.1185388675095
"BSV",1,0.25,0.1,5,"sesonality2","Children","1",40.4305072541257
"PEV",1,0.5,0.1,5,"sesonality2","Children","1",43.0520871316226
"BSV",1,0.5,0.1,5,"sesonality2","Children","1",34.3663590091362
"PEV",1,0.75,0.1,5,"sesonality2","Children","1",35.7541396659948
"BSV",1,0.75,0.1,5,"sesonality2","Children","1",29.9931382231052
"PEV",1,1,0.1,5,"sesonality2","Children","1",28.0156468899622
"BSV",1,1,0.1,5,"sesonality2","Children","1",27.0019062724864
"PEV",1,0,0.1,5,"sesonality1","0.75","0",84.2061316908811
"PEV",1,0,0.1,5,"sesonality2","0.75","0",80.1823060717691
"PEV",1,0,0.1,5,"sesonality1","18","0",42.0844871266127
"PEV",1,0,0.1,5,"sesonality2","18","0",43.6648068366411
"PEV",1,0,0.1,5,"sesonality1","0.75","1",93.6831755568292
"PEV",1,0,0.1,5,"sesonality2","0.75","1",91.2153548326172
"PEV",1,0,0.1,5,"sesonality1","18","1",47.8070866141733
"PEV",1,0,0.1,5,"sesonality2","18","1",49.2156469881079
"PEV",1,0.25,0.1,5,"sesonality1","0.75","0",76.7751980628398
"PEV",1,0.25,0.1,5,"sesonality2","0.75","0",72.0555522862355
"PEV",1,0.25,0.1,5,"sesonality1","18","0",36.2649502150473
"PEV",1,0.25,0.1,5,"sesonality2","18","0",38.4673788293457
"PEV",1,0.25,0.1,5,"sesonality1","0.75","1",88.9028879171916
"PEV",1,0.25,0.1,5,"sesonality2","0.75","1",85.9666414844893
"PEV",1,0.25,0.1,5,"sesonality1","18","1",41.8036417322836
"PEV",1,0.25,0.1,5,"sesonality2","18","1",44.3362758848278
