"Survey","nEPIVaccinations_3","nEPIVaccinations_5","simulatedEIR"
1,0,0,0
2,0,0,3.31678
3,0,0,3.31682
4,0,0,3.31716
5,0,0,3.31905
6,0,0,3.3213
7,0,0,3.32038
8,0,0,3.32048
9,0,0,3.32675
10,0,0,3.33758
11,0,0,3.34485
12,0,0,3.34577
13,0,0,3.34088
14,0,0,3.33579
15,0,0,3.33454
16,0,0,3.33708
17,0,0,3.34167
18,0,0,3.34435
19,0,0,3.34192
20,0,0,3.33771
21,0,0,3.3395
22,0,0,3.3466
23,0,0,3.35315
24,0,0,3.35984
25,0,0,3.36158
26,0,0,3.35692
27,0,0,3.34867
28,0,0,3.34322
29,0,0,3.34071
30,0,0,3.33836
31,0,0,3.34061
32,0,0,3.34531
33,0,0,3.34685
34,0,0,3.34632
35,0,0,3.34764
36,0,0,3.35349
37,0,0,3.36245
38,0,0,3.36832
39,0,0,3.36432
40,0,0,3.35344
41,0,0,3.34848
42,0,0,3.34961
43,0,0,3.34971
44,0,0,3.3491
45,0,0,3.3493
46,0,0,3.35361
47,0,0,3.35942
48,0,0,3.36612
49,0,0,3.37548
50,0,0,3.38629
51,0,0,3.39182
52,0,0,3.39116
53,0,0,3.3865
54,0,0,3.37936
55,0,0,3.37167
56,0,0,3.36884
57,0,0,3.36808
58,0,0,3.36238
59,0,0,3.35611
60,0,0,3.35226
61,0,0,3.35236
62,0,0,3.35346
63,0,0,3.35329
64,0,0,3.35038
65,0,0,3.34508
66,0,0,3.34178
67,0,0,3.3408
68,0,0,3.34268
69,0,0,3.34578
70,0,0,3.34762
71,0,0,3.34895
72,0,0,3.35015
73,0,0,3.35265
74,0,0,3.3564
75,0,0,3.35974
76,0,0,3.35911
77,0,0,3.35403
78,0,0,3.34887
79,0,0,3.34493
80,0,0,3.34345
81,0,0,3.34344
82,0,0,3.34377
83,0,0,3.34424
84,0,0,3.34518
85,0,0,3.34746
86,0,0,3.34872
87,0,0,3.34409
88,0,0,3.33941
89,0,0,3.3407
90,0,0,3.3472
91,0,0,3.35509
92,0,0,3.36093
93,0,0,3.36574
94,0,0,3.36764
95,0,0,3.3672
96,0,0,3.36112
97,0,0,3.35259
98,0,0,3.34847
99,0,0,3.34468
100,0,0,3.33816
101,0,0,3.33302
102,0,0,3.33099
103,0,0,3.33049
104,0,0,3.33403
105,0,0,3.33952
106,0,0,3.34541
107,0,0,3.35228
108,0,0,3.35807
109,0,0,3.36107
110,0,0,3.36046
111,0,0,3.35408
112,0,0,3.34673
113,0,0,3.34711
114,0,0,3.35104
115,0,0,3.3522
116,0,0,3.35083
117,0,0,3.34705
118,0,0,3.34309
119,0,0,3.33921
120,0,0,3.33493
121,0,0,3.33017
122,0,0,3.32998
123,0,0,3.34056
124,0,0,3.35307
125,0,0,3.36069
126,0,0,3.36491
127,0,0,3.367
128,0,0,3.36464
129,0,0,3.36097
130,0,0,3.36059
131,0,0,3.36221
132,0,0,3.36214
133,0,0,3.35797
134,0,0,3.35473
135,0,0,3.35636
136,0,0,3.35978
137,0,0,3.35982
138,0,0,3.35601
139,0,0,3.35406
140,0,0,3.35642
141,0,0,3.36024
142,0,0,3.36214
143,0,0,3.36269
144,0,0,3.36492
145,0,0,3.37101
146,0,0,3.37685
147,0,0,3.37718
148,0,0,3.3717
149,0,0,3.363
150,0,0,3.35545
151,0,0,3.35152
152,0,0,3.35104
153,0,0,3.35229
154,0,0,3.35208
155,0,0,3.34924
156,0,0,3.34639
157,0,0,3.34488
158,0,0,3.34425
159,0,0,3.34796
160,0,0,3.355
161,0,0,3.35973
162,0,0,3.3585
163,0,0,3.35288
164,0,0,3.35036
165,0,0,3.35177
166,0,0,3.35381
167,0,0,3.35598
168,0,0,3.35633
169,0,0,3.35861
170,0,0,3.36057
171,0,0,3.35715
172,0,0,3.34982
173,0,0,3.34529
174,0,0,3.3435
175,0,0,3.3407
176,0,0,3.3334
177,0,0,3.32916
178,0,0,3.33117
179,0,0,3.33612
180,0,0,3.3419
181,0,0,3.34527
182,0,0,3.34884
183,0,0,3.35212
184,0,0,3.35291
185,0,0,3.35026
186,0,0,3.34493
187,0,0,3.34322
188,0,0,3.34364
189,0,0,3.34414
190,0,0,3.34131
191,0,0,3.33379
192,0,0,3.32472
193,0,0,3.31818
194,0,0,3.31576
195,0,0,3.31903
196,0,0,3.32583
197,0,0,3.33466
198,0,0,3.34199
199,0,0,3.34433
200,0,0,3.34537
201,0,0,3.34468
202,0,0,3.3443
203,0,0,3.3459
204,0,0,3.34716
205,0,0,3.34616
206,0,0,3.34114
207,0,0,3.33685
208,0,0,3.33528
209,0,0,3.33595
210,0,0,3.33758
211,0,0,3.33706
212,0,0,3.33464
213,0,0,3.33203
214,0,0,3.33117
215,0,0,3.33365
216,0,0,3.33523
217,0,0,3.33292
218,0,0,3.32936
219,0,0,3.32412
220,0,0,3.32181
221,0,0,3.32518
222,0,0,3.3296
223,0,0,3.33374
224,0,0,3.33813
225,0,0,3.34536
226,0,0,3.34901
227,0,0,3.34742
228,0,0,3.34363
229,0,0,3.34326
230,0,0,3.34759
231,0,0,3.34896
232,0,0,3.34606
233,0,0,3.34136
234,0,0,3.33692
235,0,0,3.3352
236,0,0,3.33719
237,0,0,3.34163
238,0,0,3.33973
239,0,0,3.33105
240,0,0,3.32448
241,0,0,3.32364
242,0,0,3.32755
243,0,0,3.33163
244,0,0,3.33376
245,0,0,3.33234
246,0,0,3.32809
247,0,0,3.32598
248,0,0,3.32703
249,0,0,3.32762
250,0,0,3.3289
251,0,0,3.33327
252,0,0,3.33726
253,0,0,3.33612
254,0,0,3.33411
255,0,0,3.33338
256,0,0,3.33232
257,0,0,3.33165
258,0,0,3.33319
259,0,0,3.33629
260,0,0,3.33962
261,0,0,3.34456
262,0,0,3.35044
263,0,0,3.35502
264,0,0,3.35563
265,0,0,3.35605
266,0,0,3.36052
267,0,0,3.36297
268,0,0,3.35988
269,0,0,3.35405
270,0,0,3.34671
271,0,0,3.33945
272,0,0,3.33403
273,0,0,3.32959
274,0,0,3.32756
275,0,0,3.32861
276,0,0,3.33251
277,0,0,3.34013
278,0,0,3.35034
279,0,0,3.35769
280,0,0,3.36162
281,0,0,3.36514
282,0,0,3.36816
283,0,0,3.36852
284,0,0,3.36903
285,0,0,3.36471
286,0,0,3.35709
287,0,0,3.35373
288,0,0,3.35406
289,0,0,3.35225
290,0,0,3.34881
291,0,0,3.34868
292,0,0,3.35289
293,0,0,3.35732
294,0,0,3.35757
295,0,0,3.35491
296,0,0,3.35207
297,0,0,3.35096
298,0,0,3.35349
299,0,0,3.3534
300,0,0,3.35058
301,0,0,3.34904
302,0,0,3.34738
303,0,0,3.34473
304,0,0,3.34573
305,0,0,3.34787
306,0,0,3.34602
307,0,0,3.34256
308,0,0,3.33824
309,0,0,3.33596
310,0,0,3.34056
311,0,0,3.34656
312,0,0,3.35036
313,0,0,3.35209
314,0,0,3.35046
315,0,0,3.34632
316,0,0,3.34208
317,0,0,3.33873
318,0,0,3.33681
319,0,0,3.33522
320,0,0,3.33489
321,0,0,3.33537
322,0,0,3.33551
323,0,0,3.33507
324,0,0,3.33727
325,0,0,3.34268
326,0,0,3.34694
327,0,0,3.34944
328,0,0,3.35069
329,0,0,3.35179
330,0,0,3.35049
331,0,0,3.34737
332,0,0,3.34757
333,0,0,3.34681
334,0,0,3.34423
335,0,0,3.34204
336,0,0,3.342
337,0,0,3.3429
338,0,0,3.34229
339,0,0,3.3428
340,0,0,3.34365
341,0,0,3.34327
342,0,0,3.34474
343,0,0,3.34851
344,0,0,3.34716
345,0,0,3.33946
346,0,0,3.33032
347,0,0,3.32523
348,0,0,3.32738
349,0,0,3.33371
350,0,0,3.33743
351,0,0,3.33852
352,0,0,3.33993
353,0,0,3.33983
354,0,0,3.33731
355,0,0,3.33722
356,0,0,3.3423
357,0,0,3.34839
358,0,0,3.35244
359,0,0,3.35564
360,0,0,3.35825
361,0,0,3.3615
362,0,0,3.36163
363,0,0,3.35691
364,0,0,3.35217
365,0,0,3.34843
366,0,0,3.34452
367,0,0,3.33686
368,0,0,3.32601
369,0,0,3.31836
370,0,0,3.31626
371,0,0,3.32028
372,0,0,3.32571
373,0,0,3.33117
374,0,0,3.33797
375,0,0,3.34524
376,0,0,3.35152
377,0,0,3.3545
378,0,0,3.35631
379,0,0,3.35631
380,0,0,3.35352
381,0,0,3.34922
382,0,0,3.34628
383,0,0,3.34253
384,0,0,3.34234
385,0,0,3.344
386,0,0,3.3417
387,0,0,3.33681
388,0,0,3.33422
389,0,0,3.33532
390,0,0,3.33865
391,0,0,3.3395
392,0,0,3.3373
393,0,0,3.33716
394,0,0,3.33988
395,0,0,3.34366
396,0,0,3.35025
397,0,0,3.35878
398,0,0,3.36611
399,0,0,3.3654
400,0,0,3.35794
401,0,0,3.35038
402,0,0,3.34327
403,0,0,3.33736
404,0,0,3.3333
405,0,0,3.33214
406,0,0,3.32937
407,0,0,3.32747
408,0,0,3.33111
409,0,0,3.33635
410,0,0,3.34081
411,0,0,3.34221
412,0,0,3.34011
413,0,0,3.33658
414,0,0,3.3343
415,0,0,3.33601
416,0,0,3.33863
417,0,0,3.33976
418,0,0,3.33911
419,0,0,3.33582
420,0,0,3.33274
421,0,0,3.33249
422,0,0,3.33511
423,0,0,3.34086
424,0,0,3.34458
425,0,0,3.34231
426,0,0,3.33969
427,0,0,3.33813
428,0,0,3.33558
429,0,0,3.33335
430,0,0,3.33113
431,0,0,3.32823
432,0,0,3.32705
433,0,0,3.32847
434,0,0,3.32845
435,0,0,3.32951
436,0,0,3.3327
437,0,0,3.33781
438,0,0,3.34018
439,0,0,3.34041
440,0,0,3.33931
441,0,0,3.33548
442,0,0,3.32923
443,0,0,3.32355
444,0,0,3.31686
445,0,0,3.31175
446,0,0,3.31442
447,0,0,3.32411
448,0,0,3.34074
449,0,0,3.36036
450,0,0,3.37612
451,0,0,3.38365
452,0,0,3.38112
453,0,0,3.37468
454,0,0,3.371
455,0,0,3.36739
456,0,0,3.36157
457,0,0,3.35351
458,0,0,3.34666
459,0,0,3.34427
460,0,0,3.34139
461,0,0,3.33966
462,0,0,3.34099
463,0,0,3.34533
464,0,0,3.34752
465,0,0,3.34736
466,0,0,3.34704
467,0,0,3.34718
468,0,0,3.34926
469,0,0,3.34895
470,0,0,3.34771
471,0,0,3.34536
472,0,0,3.34109
473,0,0,3.33525
474,0,0,3.3302
475,0,0,3.32846
476,0,0,3.33245
477,0,0,3.34278
478,0,0,3.35621
479,0,0,3.36185
480,0,0,3.35735
481,0,0,3.35107
482,0,0,3.3504
483,0,0,3.35422
484,0,0,3.3579
485,0,0,3.3621
486,0,0,3.36586
487,0,0,3.36551
488,0,0,3.36312
489,0,0,3.36068
490,0,0,3.36232
491,0,0,3.36799
492,0,0,3.37315
493,0,0,3.37723
494,0,0,3.37963
495,0,0,3.38003
496,0,0,3.37592
497,0,0,3.36984
498,0,0,3.36351
499,0,0,3.35855
500,0,0,3.35307
501,0,0,3.34901
502,0,0,3.35014
503,0,0,3.35419
504,0,0,3.35673
505,0,0,3.35588
506,0,0,3.35162
507,0,0,3.34952
508,0,0,3.35545
509,0,0,3.36288
510,0,0,3.36493
511,0,0,3.36329
512,0,0,3.35923
513,0,0,3.35295
514,0,0,3.34645
515,0,0,3.34722
516,0,0,3.35577
517,0,0,3.36317
518,0,0,3.3691
519,0,0,3.37099
520,0,0,3.36877
521,0,0,3.36533
522,0,0,3.35636
523,0,0,3.34855
524,0,0,3.34525
525,0,0,3.34538
526,0,0,3.34642
527,0,0,3.34593
528,0,0,3.34338
529,0,0,3.33857
530,0,0,3.33308
531,0,0,3.32917
532,0,0,3.32944
533,0,0,3.33168
534,0,0,3.3336
535,0,0,3.33487
536,0,0,3.33811
537,0,0,3.33958
538,0,0,3.33809
539,0,0,3.33567
540,0,0,3.33445
541,0,0,3.33237
542,0,0,3.32839
543,0,0,3.32526
544,0,0,3.32578
545,0,0,3.33108
546,0,0,3.33673
547,0,0,3.34097
548,0,0,3.34151
549,0,0,3.33923
550,0,0,3.33669
551,0,0,3.33799
552,0,0,3.34103
553,0,0,3.33936
554,0,0,3.33559
555,0,0,3.33413
556,0,0,3.33542
557,0,0,3.34098
558,0,0,3.35082
559,0,0,3.35864
560,0,0,3.36275
561,0,0,3.36572
562,0,0,3.37077
563,0,0,3.37381
564,0,0,3.37449
565,0,0,3.37538
566,0,0,3.37408
567,0,0,3.37356
568,0,0,3.37273
569,0,0,3.36977
570,0,0,3.36537
571,0,0,3.35561
572,0,0,3.34356
573,0,0,3.33478
574,0,0,3.3302
575,0,0,3.3296
576,0,0,3.33359
577,0,0,3.33903
