"Setting","Factor","First","Effect","Coverage_reduced","Seasonality","Age","Blood_coverage"
"Spread_sesonality1_Coverage_reduced_0.2_Age_18_Blood_coverage_0","Coverage",0.0204561876952705,"First","0.2","sesonality1","18","0"
"Spread_sesonality1_Coverage_reduced_0.2_Age_18_Blood_coverage_0","initialEfficacy",0.104187550274447,"First","0.2","sesonality1","18","0"
"Spread_sesonality1_Coverage_reduced_0.2_Age_18_Blood_coverage_0","Degree_resistance",0.679996842490511,"First","0.2","sesonality1","18","0"
"Spread_sesonality1_Coverage_reduced_0.2_Age_18_Blood_coverage_0","Access",0.033287037312523,"First","0.2","sesonality1","18","0"
"Spread_sesonality1_Coverage_reduced_0.2_Age_18_Blood_coverage_0","eir",0.0788936700213902,"First","0.2","sesonality1","18","0"
"Spread_sesonality1_Coverage_reduced_0.2_Age_18_Blood_coverage_0","half_life",0.0831787122058579,"First","0.2","sesonality1","18","0"
"Spread_sesonality1_Coverage_reduced_0.2_Age_18_Blood_coverage_0","Coverage",0.032483966256873,"Total","0.2","sesonality1","18","0"
"Spread_sesonality1_Coverage_reduced_0.2_Age_18_Blood_coverage_0","initialEfficacy",0.131276341018356,"Total","0.2","sesonality1","18","0"
"Spread_sesonality1_Coverage_reduced_0.2_Age_18_Blood_coverage_0","Degree_resistance",0.691572375959352,"Total","0.2","sesonality1","18","0"
"Spread_sesonality1_Coverage_reduced_0.2_Age_18_Blood_coverage_0","Access",0.0441068799003806,"Total","0.2","sesonality1","18","0"
"Spread_sesonality1_Coverage_reduced_0.2_Age_18_Blood_coverage_0","eir",0.10248688070089,"Total","0.2","sesonality1","18","0"
"Spread_sesonality1_Coverage_reduced_0.2_Age_18_Blood_coverage_0","half_life",0.110171759550576,"Total","0.2","sesonality1","18","0"
"Spread_sesonality1_Coverage_reduced_0.2_Age_18_Blood_coverage_1","Coverage",0.0201329718513082,"First","0.2","sesonality1","18","1"
"Spread_sesonality1_Coverage_reduced_0.2_Age_18_Blood_coverage_1","initialEfficacy",0.102840936646272,"First","0.2","sesonality1","18","1"
"Spread_sesonality1_Coverage_reduced_0.2_Age_18_Blood_coverage_1","Degree_resistance",0.673526408053899,"First","0.2","sesonality1","18","1"
"Spread_sesonality1_Coverage_reduced_0.2_Age_18_Blood_coverage_1","Access",0.034316137848464,"First","0.2","sesonality1","18","1"
"Spread_sesonality1_Coverage_reduced_0.2_Age_18_Blood_coverage_1","eir",0.0846765436686473,"First","0.2","sesonality1","18","1"
"Spread_sesonality1_Coverage_reduced_0.2_Age_18_Blood_coverage_1","half_life",0.0845070019314104,"First","0.2","sesonality1","18","1"
"Spread_sesonality1_Coverage_reduced_0.2_Age_18_Blood_coverage_1","Coverage",0.029546579683472,"Total","0.2","sesonality1","18","1"
"Spread_sesonality1_Coverage_reduced_0.2_Age_18_Blood_coverage_1","initialEfficacy",0.132779152029523,"Total","0.2","sesonality1","18","1"
"Spread_sesonality1_Coverage_reduced_0.2_Age_18_Blood_coverage_1","Degree_resistance",0.683150367467701,"Total","0.2","sesonality1","18","1"
"Spread_sesonality1_Coverage_reduced_0.2_Age_18_Blood_coverage_1","Access",0.0459228337649916,"Total","0.2","sesonality1","18","1"
"Spread_sesonality1_Coverage_reduced_0.2_Age_18_Blood_coverage_1","eir",0.107108957011915,"Total","0.2","sesonality1","18","1"
"Spread_sesonality1_Coverage_reduced_0.2_Age_18_Blood_coverage_1","half_life",0.108733949059169,"Total","0.2","sesonality1","18","1"
"Spread_sesonality1_Coverage_reduced_0.2_Age_0.75_Blood_coverage_0","Coverage",0.0942965251330452,"First","0.2","sesonality1","0.75","0"
"Spread_sesonality1_Coverage_reduced_0.2_Age_0.75_Blood_coverage_0","initialEfficacy",0.208610396244485,"First","0.2","sesonality1","0.75","0"
