"Survey","nHost_1","nHost_2","nHost_3","nHost_4","nHost_5","nHost_6","nHost_7","nHost_8","nInfect_1","nInfect_2","nInfect_3","nInfect_4","nInfect_5","nInfect_6","nInfect_7","nInfect_8","nExpectd_1","nExpectd_2","nExpectd_3","nExpectd_4","nExpectd_5","nExpectd_6","nExpectd_7","nExpectd_8","nPatent_1","nPatent_2","nPatent_3","nPatent_4","nPatent_5","nPatent_6","nPatent_7","nPatent_8","nTransmit","nTreatments1_1","nTreatments1_2","nTreatments1_3","nTreatments1_4","nTreatments1_5","nTreatments1_6","nTreatments1_7","nTreatments1_8","nUncomp_1","nUncomp_2","nUncomp_3","nUncomp_4","nUncomp_5","nUncomp_6","nUncomp_7","nUncomp_8","nEPIVaccinations_1","nEPIVaccinations_2","nEPIVaccinations_3","nEPIVaccinations_4","nEPIVaccinations_5","nEPIVaccinations_6","nEPIVaccinations_7","nEPIVaccinations_8","nMassVaccinations_1","nMassVaccinations_2","nMassVaccinations_3","nMassVaccinations_4","nMassVaccinations_5","nMassVaccinations_6","nMassVaccinations_7","nMassVaccinations_8","innoculationsPerAgeGroup_S1","innoculationsPerAgeGroup_R1","innoculationsPerAgeGroup_S2","innoculationsPerAgeGroup_R2","innoculationsPerAgeGroup_S3","innoculationsPerAgeGroup_R3","innoculationsPerAgeGroup_S4","innoculationsPerAgeGroup_R4","innoculationsPerAgeGroup_S5","innoculationsPerAgeGroup_R5","innoculationsPerAgeGroup_S6","innoculationsPerAgeGroup_R6","innoculationsPerAgeGroup_S7","innoculationsPerAgeGroup_R7","innoculationsPerAgeGroup_S8","innoculationsPerAgeGroup_R8","Vector_Nv","inputEIR","simulatedEIR","nMDAs_1","nMDAs_2","nMDAs_3","nMDAs_4","nMDAs_5","nMDAs_6","nMDAs_7","nMDAs_8","nTreatDiagnostics_1","nTreatDiagnostics_2","nTreatDiagnostics_3","nTreatDiagnostics_4","nTreatDiagnostics_5","nTreatDiagnostics_6","nTreatDiagnostics_7","nTreatDiagnostics_8","nInfectByGenotype_S1","nInfectByGenotype_R1","nInfectByGenotype_S2","nInfectByGenotype_R2","nInfectByGenotype_S3","nInfectByGenotype_R3","nInfectByGenotype_S4","nInfectByGenotype_R4","nInfectByGenotype_S5","nInfectByGenotype_R5","nInfectByGenotype_S6","nInfectByGenotype_R6","nInfectByGenotype_S7","nInfectByGenotype_R7","nInfectByGenotype_S8","nInfectByGenotype_R8","nPatentByGenotype_S1","nPatentByGenotype_R1","nPatentByGenotype_S2","nPatentByGenotype_R2","nPatentByGenotype_S3","nPatentByGenotype_R3","nPatentByGenotype_S4","nPatentByGenotype_R4","nPatentByGenotype_S5","nPatentByGenotype_R5","nPatentByGenotype_S6","nPatentByGenotype_R6","nPatentByGenotype_S7","nPatentByGenotype_R7","nPatentByGenotype_S8","nPatentByGenotype_R8","nHostDrugConcNonZero_A1","nHostDrugConcNonZero_B1","nHostDrugConcNonZero_C1","nHostDrugConcNonZero_D1","nHostDrugConcNonZero_A2","nHostDrugConcNonZero_B2","nHostDrugConcNonZero_C2","nHostDrugConcNonZero_D2","nHostDrugConcNonZero_A3","nHostDrugConcNonZero_B3","nHostDrugConcNonZero_C3","nHostDrugConcNonZero_D3","nHostDrugConcNonZero_A4","nHostDrugConcNonZero_B4","nHostDrugConcNonZero_C4","nHostDrugConcNonZero_D4","nHostDrugConcNonZero_A5","nHostDrugConcNonZero_B5","nHostDrugConcNonZero_C5","nHostDrugConcNonZero_D5","nHostDrugConcNonZero_A6","nHostDrugConcNonZero_B6","nHostDrugConcNonZero_C6","nHostDrugConcNonZero_D6","nHostDrugConcNonZero_A7","nHostDrugConcNonZero_B7","nHostDrugConcNonZero_C7","nHostDrugConcNonZero_D7","nHostDrugConcNonZero_A8","nHostDrugConcNonZero_B8","nHostDrugConcNonZero_C8","nHostDrugConcNonZero_D8","sumLogDrugConcNonZero_A1","sumLogDrugConcNonZero_B1","sumLogDrugConcNonZero_C1","sumLogDrugConcNonZero_D1","sumLogDrugConcNonZero_A2","sumLogDrugConcNonZero_B2","sumLogDrugConcNonZero_C2","sumLogDrugConcNonZero_D2","sumLogDrugConcNonZero_A3","sumLogDrugConcNonZero_B3","sumLogDrugConcNonZero_C3","sumLogDrugConcNonZero_D3","sumLogDrugConcNonZero_A4","sumLogDrugConcNonZero_B4","sumLogDrugConcNonZero_C4","sumLogDrugConcNonZero_D4","sumLogDrugConcNonZero_A5","sumLogDrugConcNonZero_B5","sumLogDrugConcNonZero_C5","sumLogDrugConcNonZero_D5","sumLogDrugConcNonZero_A6","sumLogDrugConcNonZero_B6","sumLogDrugConcNonZero_C6","sumLogDrugConcNonZero_D6","sumLogDrugConcNonZero_A7","sumLogDrugConcNonZero_B7","sumLogDrugConcNonZero_C7","sumLogDrugConcNonZero_D7","sumLogDrugConcNonZero_A8","sumLogDrugConcNonZero_B8","sumLogDrugConcNonZero_C8","sumLogDrugConcNonZero_D8"
1,4785,49,1626,3230,3145,3079,35388,48698,2687,35,1186,2430,2502,2569,32359,40881,3547.81,48.9835,1625.9,3230,3145,3079,35388,48698,1104,18,647,1423,1489,1603,18833,13448,0.0235941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52375700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1830,1828,26,26,869,901,1854,1869,1945,1968,2070,2097,27881,28016,30844,30834,615,594,11,10,333,366,808,784,802,828,863,875,8651,8690,4460,4526,161,746,0,0,4,16,0,0,96,580,0,0,198,1100,0,0,166,899,0,0,144,736,0,0,576,3334,0,0,135,729,0,0,-3518.31,-2275.27,0,0,-87.5808,-45.806,0,0,-2137.14,-2063.93,0,0,-4154.67,-3707.63,0,0,-3563.76,-3110.36,0,0,-3265.3,-2524.62,0,0,-12418.1,-11432.6,0,0,-2966.87,-2701.14,0,0
2,4785,49,1625,3230,3147,3079,35387,48698,2708,35,1188,2443,2499,2564,32364,40873,3548.02,48.9835,1624.9,3230,3147,3079,35387,48698,1103,20,669,1400,1491,1570,18849,13542,0.0235699,91,1,49,100,77,67,322,66,133,4,88,172,132,143,837,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1275.49,1281.27,14.0014,14.0648,493.463,495.696,1140.04,1145.2,1284.04,1289.85,1381.23,1387.48,26379.2,26498.6,57410.6,57670.5,52375700,2.36563,2.37465,0,0,0,0,0,0,0,0,92,1,49,100,77,68,323,66,1836,1837,23,30,873,895,1857,1876,1920,1972,2065,2093,27915,28068,30836,30856,594,567,10,12,339,386,787,769,780,847,883,881,8739,8754,4520,4567,166,748,0,0,2,22,0,0,93,576,0,0,208,1103,0,0,170,904,0,0,136,740,0,0,589,3324,0,0,136,734,0,0,-3561.92,-2284.2,0,0,-23.4002,-87.0136,0,0,-2024.61,-2055.63,0,0,-4591.35,-3699.84,0,0,-3672.99,-3117.95,0,0,-2971.17,-2522.33,0,0,-12971.8,-11419.4,0,0,-3038.29,-2747.8,0,0
3,4785,49,1625,3229,3149,3078,35387,48698,2694,35,1167,2446,2517,2575,32361,40869,3548.07,48.9835,1624.9,3229,3149,3078,35387,48698,1085,19,666,1390,1477,1573,18957,13531,0.0234303,94,1,46,104,87,55,297,53,156,0,74,182,145,138,873,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1269.97,1280.48,13.9466,14.0621,491.524,495.596,1135.21,1144.62,1279.8,1290.4,1375.86,1387.26,26275.3,26493,57185.8,57659.5,52375700,2.36563,2.36979,0,0,0,0,0,0,0,0,94,1,46,104,87,55,298,53,1823,1827,24,23,868,882,1854,1883,1936,1981,2065,2122,27903,28057,30800,30855,573,576,11,11,347,373,775,782,768,817,874,887,8783,8785,4458,4555,167,759,0,0,1,17,0,0,96,577,0,0,199,1110,0,0,168,900,0,0,136,740,0,0,611,3353,0,0,134,737,0,0,-3588.49,-2341.92,0,0,-12.321,-71.3584,0,0,-2115.04,-2063.72,0,0,-4287.09,-3789.15,0,0,-3809.77,-3043.96,0,0,-2969.84,-2513.03,0,0,-13035.3,-11461.3,0,0,-2993.94,-2769.65,0,0
4,4785,49,1625,3230,3148,3077,35388,48698,2701,36,1177,2437,2509,2571,32397,40877,3547.98,48.9835,1624.9,3230,3148,3077,35388,48698,1077,21,664,1369,1464,1605,18903,13524,0.0235469,101,1,47,87,69,62,310,63,158,2,72,161,145,127,877,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1263.81,1281.32,13.8732,14.0654,488.947,495.722,1129.28,1144.93,1272.65,1290.28,1368.17,1387.13,26138.1,26500.3,56884.9,57673.1,52375700,2.36563,2.36386,0,0,0,0,0,0,0,0,102,1,47,87,69,62,314,63,1825,1842,22,28,883,878,1847,1881,1940,1949,2062,2130,27922,28048,30809,30861,557,595,13,15,358,381,773,763,747,822,871,902,8770,8755,4438,4535,169,773,0,0,5,21,0,0,91,567,0,0,207,1101,0,0,165,911,0,0,124,735,0,0,620,3390,0,0,119,721,0,0,-3592.28,-2446.87,0,0,-158.137,-78.7109,0,0,-2017.29,-2025.97,0,0,-4482.77,-3675.56,0,0,-3495.64,-3063.31,0,0,-2844.93,-2552.27,0,0,-13794.9,-11805.8,0,0,-2769.75,-2754.88,0,0
5,4785,49,1625,3229,3148,3077,35389,48698,2685,40,1183,2440,2512,2572,32449,40871,3547.77,48.9835,1624.9,3229,3148,3077,35389,48698,1074,19,686,1392,1490,1620,19094,13508,0.0235753,80,1,40,91,69,69,291,69,139,2,94,157,132,147,845,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1257.06,1280.38,13.8049,14.0609,486.256,495.275,1124.06,1144.91,1266.77,1290.27,1360.98,1386.22,26010,26492.4,56604.9,57654.8,52375700,2.36563,2.3577,0,0,0,0,0,0,0,0,80,1,40,92,69,69,293,70,1800,1831,32,33,888,878,1853,1890,1964,1948,2072,2128,27976,28045,30811,30891,564,605,14,10,374,389,768,817,760,801,853,919,8823,8792,4502,4474,182,781,0,0,0,16,0,0,89,569,0,0,192,1086,0,0,154,913,0,0,122,725,0,0,608,3391,0,0,116,712,0,0,-3894.67,-2426.54,0,0,0,-81.3709,0,0,-1914.2,-2082.44,0,0,-4364.54,-3656.52,0,0,-3521.68,-3177.83,0,0,-2624.45,-2472.45,0,0,-13178.6,-11770.5,0,0,-2476.17,-2697.78,0,0
6,4785,49,1625,3230,3149,3076,35388,48698,2689,34,1212,2419,2500,2571,32394,40901,3547.49,48.9835,1624.9,3230,3149,3076,35388,48698,1101,22,708,1403,1486,1622,19023,13388,0.023625,79,2,52,104,77,64,305,71,169,3,76,159,173,139,848,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1253.03,1279.7,13.7577,14.0505,484.28,494.588,1119.94,1143.77,1262.5,1289.37,1355.92,1384.78,25920.5,26472.3,56411.4,57612.1,52375700,2.36563,2.35283,0,0,0,0,0,0,0,0,81,2,52,105,78,64,306,71,1823,1830,28,27,905,894,1866,1860,1960,1962,2075,2114,27904,28061,30769,30973,563,633,12,11,394,395,800,794,778,815,849,902,8762,8763,4528,4529,175,775,0,0,0,20,0,0,85,555,0,0,179,1092,0,0,138,894,0,0,132,734,0,0,602,3377,0,0,132,720,0,0,-4004.12,-2472.99,0,0,0,-65.8613,0,0,-1903.36,-2072.19,0,0,-3849.76,-3757.56,0,0,-3015.64,-3140.23,0,0,-2842.96,-2511.81,0,0,-13345.1,-11748.3,0,0,-2869.51,-2725.58,0,0
7,4785,49,1625,3229,3152,3075,35387,48698,2678,41,1189,2429,2534,2565,32354,40870,3547.24,48.9835,1624.9,3229,3152,3075,35387,48698,1119,21,691,1384,1505,1593,18856,13495,0.0236401,92,4,53,108,81,62,314,41,136,4,93,162,176,118,826,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1251.85,1280.76,13.7419,14.0592,483.678,494.848,1118.98,1144.82,1262.7,1291.86,1354.01,1385.28,25889.7,26487.6,56346.5,57647.8,52375700,2.36563,2.35223,0,0,0,0,0,0,0,0,94,4,53,109,81,62,314,41,1824,1828,30,34,901,880,1874,1846,1983,1991,2083,2087,27905,28048,30739,30927,569,606,12,15,394,381,771,815,815,844,842,921,8810,8761,4494,4468,156,767,0,0,0,14,0,0,89,553,0,0,200,1115,0,0,146,895,0,0,131,725,0,0,597,3384,0,0,140,728,0,0,-3419,-2429.04,0,0,0,-65.1878,0,0,-1809.81,-2010.25,0,0,-4221.69,-3881.05,0,0,-3110.72,-3163.69,0,0,-2911.35,-2463.69,0,0,-12950.7,-11785.4,0,0,-3086.77,-2745.75,0,0
8,4785,49,1626,3228,3150,3078,35386,48698,2650,36,1199,2392,2552,2558,32386,40873,3547.06,48.9835,1625.9,3228,3150,3078,35386,48698,1105,19,696,1380,1502,1588,18855,13543,0.0235831,95,2,61,93,90,68,287,83,155,0,70,176,138,147,842,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250.98,1279.68,13.7468,14.0622,485.061,496.188,1118.69,1144.35,1262.31,1291.27,1355.78,1386.88,25898.8,26493,56366.9,57660,52375700,2.36563,2.3529,0,0,0,0,0,0,0,0,95,2,61,93,90,69,289,85,1794,1819,28,24,899,890,1840,1818,1976,2008,2071,2085,27945,28111,30726,30975,573,603,10,11,374,366,774,771,799,816,844,902,8717,8754,4526,4494,161,774,0,0,4,19,0,0,107,555,0,0,214,1108,0,0,157,912,0,0,128,741,0,0,618,3376,0,0,112,693,0,0,-3360.94,-2439.32,0,0,-87.477,-71.7329,0,0,-2288.09,-1975.33,0,0,-4649.16,-3785.22,0,0,-3378.65,-3278.16,0,0,-2813.9,-2609,0,0,-13419.3,-11618.5,0,0,-2782.49,-2669.36,0,0
9,4785,49,1626,3229,3148,3079,35386,48698,2652,34,1186,2412,2529,2561,32401,40853,3546.95,48.9835,1625.9,3229,3148,3079,35386,48698,1087,18,676,1385,1492,1601,18947,13627,0.0236308,85,1,66,85,76,72,318,54,148,0,89,142,141,136,807,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1253.06,1279.51,13.7696,14.0602,485.889,496.146,1120.54,1144.19,1264.01,1290.69,1358,1386.67,25942.5,26490.1,56460,57651.9,52375700,2.36563,2.35465,0,0,0,0,0,0,0,0,85,1,66,85,76,72,321,54,1779,1821,26,23,873,889,1842,1830,1970,1966,2057,2107,27962,28075,30734,31008,578,611,8,10,383,357,761,789,831,808,862,882,8836,8727,4556,4558,177,772,0,0,3,16,0,0,114,557,0,0,204,1110,0,0,173,907,0,0,131,736,0,0,600,3359,0,0,124,716,0,0,-3846.16,-2417.75,0,0,-56.0703,-50.0554,0,0,-2453.43,-1938.38,0,0,-4628.48,-3823.78,0,0,-3649.14,-3132.46,0,0,-2810.77,-2567.13,0,0,-13395.8,-11607.2,0,0,-2336.97,-2682.03,0,0
10,4785,49,1625,3230,3148,3079,35386,48698,2665,38,1175,2424,2523,2569,32360,40875,3546.88,48.9835,1624.9,3230,3148,3079,35386,48698,1113,24,658,1414,1520,1568,18960,13511,0.0236695,94,1,53,86,85,72,327,68,150,2,71,167,179,158,864,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1256.35,1279.51,13.7913,14.0455,486.355,495.318,1123.34,1144.04,1265.2,1288.52,1360.57,1385.65,25983.4,26462.3,56549.2,57591.3,52375700,2.36563,2.35524,0,0,0,0,0,0,0,0,94,1,53,86,86,72,329,70,1764,1844,29,29,864,875,1840,1840,1976,1956,2079,2119,27907,28070,30753,31046,567,594,12,12,346,346,792,781,857,843,862,859,8781,8662,4520,4627,163,763,0,0,4,14,0,0,121,583,0,0,184,1084,0,0,165,907,0,0,144,749,0,0,605,3372,0,0,137,706,0,0,-3633.96,-2395.43,0,0,-107.073,-52.0998,0,0,-2555.39,-2015.69,0,0,-4131.81,-3729.7,0,0,-3752.23,-3189.97,0,0,-3125.9,-2595.86,0,0,-12900.2,-11552.9,0,0,-3327.09,-2692.68,0,0
