"eir","Access","Population","Proportion_infection"
5,0.1,"Adults",0.540228501433685
10,0.1,"Adults",0.503214232711133
25,0.1,"Adults",0.446659867024999
50,0.1,"Adults",0.399306884351414
75,0.1,"Adults",0.37159932583749
100,0.1,"Adults",0.352047275157195
125,0.1,"Adults",0.339765993943714
150,0.1,"Adults",0.330578600593612
175,0.1,"Adults",0.323373261023565
200,0.1,"Adults",0.319921994478831
225,0.1,"Adults",0.318247101271588
250,0.1,"Adults",0.315863237728431
275,0.1,"Adults",0.316459358388264
300,0.1,"Adults",0.317687203791469
325,0.1,"Adults",0.31768779452269
350,0.1,"Adults",0.319186595621916
375,0.1,"Adults",0.320423970517133
400,0.1,"Adults",0.322722324447741
425,0.1,"Adults",0.324186349850172
450,0.1,"Adults",0.327290339117046
475,0.1,"Adults",0.330011179525227
500,0.1,"Adults",0.331715630656292
5,0.2,"Adults",0.577103641913666
10,0.2,"Adults",0.535042056417689
25,0.2,"Adults",0.474963655590788
50,0.2,"Adults",0.425573259116032
75,0.2,"Adults",0.395207992035583
100,0.2,"Adults",0.375676011963172
125,0.2,"Adults",0.362447315792535
150,0.2,"Adults",0.352607741651955
175,0.2,"Adults",0.345605170019373
200,0.2,"Adults",0.341348698720776
225,0.2,"Adults",0.339496140801097
250,0.2,"Adults",0.337356208922057
275,0.2,"Adults",0.337124664731691
300,0.2,"Adults",0.338106266654492
325,0.2,"Adults",0.338502964820156
350,0.2,"Adults",0.340092921336929
375,0.2,"Adults",0.341969050802843
400,0.2,"Adults",0.343850397351093
425,0.2,"Adults",0.346605217871565
450,0.2,"Adults",0.346981863223821
475,0.2,"Adults",0.351008196281192
500,0.2,"Adults",0.351911740789224
5,0.4,"Adults",0.631023355012315
10,0.4,"Adults",0.587711079740092
25,0.4,"Adults",0.521808627562812
50,0.4,"Adults",0.470710358170718
75,0.4,"Adults",0.438749800731006
100,0.4,"Adults",0.417662568689905
125,0.4,"Adults",0.403573012516183
150,0.4,"Adults",0.394022658486202
175,0.4,"Adults",0.38633558519675
200,0.4,"Adults",0.382212183209456
225,0.4,"Adults",0.379632694714994
250,0.4,"Adults",0.377357217329616
275,0.4,"Adults",0.377251695722061
300,0.4,"Adults",0.376815729153808
325,0.4,"Adults",0.377770352498753
350,0.4,"Adults",0.379305413849731
375,0.4,"Adults",0.381809054673986
400,0.4,"Adults",0.383454900953883
425,0.4,"Adults",0.386150991137969
450,0.4,"Adults",0.388117687950185
475,0.4,"Adults",0.390649748908847
500,0.4,"Adults",0.392504679676807
5,0.1,"Children",0.459771498566315
10,0.1,"Children",0.496785767288867
25,0.1,"Children",0.553340132975001
50,0.1,"Children",0.600693115648586
75,0.1,"Children",0.62840067416251
100,0.1,"Children",0.647952724842805
125,0.1,"Children",0.660234006056286
150,0.1,"Children",0.669421399406388
175,0.1,"Children",0.676626738976435
200,0.1,"Children",0.680078005521169
225,0.1,"Children",0.681752898728412
250,0.1,"Children",0.684136762271569
275,0.1,"Children",0.683540641611736
300,0.1,"Children",0.682312796208531
325,0.1,"Children",0.68231220547731
350,0.1,"Children",0.680813404378084
375,0.1,"Children",0.679576029482867
400,0.1,"Children",0.677277675552259
425,0.1,"Children",0.675813650149828
450,0.1,"Children",0.672709660882954
475,0.1,"Children",0.669988820474773
500,0.1,"Children",0.668284369343708
5,0.2,"Children",0.422896358086334
10,0.2,"Children",0.464957943582312
25,0.2,"Children",0.525036344409212
50,0.2,"Children",0.574426740883968
75,0.2,"Children",0.604792007964417
100,0.2,"Children",0.624323988036828
125,0.2,"Children",0.637552684207465
150,0.2,"Children",0.647392258348045
175,0.2,"Children",0.654394829980627
200,0.2,"Children",0.658651301279224
225,0.2,"Children",0.660503859198903
250,0.2,"Children",0.662643791077943
275,0.2,"Children",0.662875335268309
300,0.2,"Children",0.661893733345508
325,0.2,"Children",0.661497035179844
350,0.2,"Children",0.659907078663071
375,0.2,"Children",0.658030949197157
400,0.2,"Children",0.656149602648907
425,0.2,"Children",0.653394782128435
450,0.2,"Children",0.653018136776179
475,0.2,"Children",0.648991803718808
500,0.2,"Children",0.648088259210776
5,0.4,"Children",0.368976644987685
10,0.4,"Children",0.412288920259908
25,0.4,"Children",0.478191372437188
50,0.4,"Children",0.529289641829282
75,0.4,"Children",0.561250199268994
100,0.4,"Children",0.582337431310095
125,0.4,"Children",0.596426987483817
150,0.4,"Children",0.605977341513798
175,0.4,"Children",0.61366441480325
200,0.4,"Children",0.617787816790544
225,0.4,"Children",0.620367305285006
250,0.4,"Children",0.622642782670384
275,0.4,"Children",0.622748304277939
300,0.4,"Children",0.623184270846192
325,0.4,"Children",0.622229647501247
350,0.4,"Children",0.620694586150269
375,0.4,"Children",0.618190945326014
400,0.4,"Children",0.616545099046117
425,0.4,"Children",0.613849008862031
450,0.4,"Children",0.611882312049815
475,0.4,"Children",0.609350251091153
500,0.4,"Children",0.607495320323193
