"Vaccine_type","half_life","Degree_resistance","Access","eir","seasonality","Age","Blood_coverage","IR"
"PEV",1,"0",0.1,5,"sesonality2","Children","0",45.5892461095602
"BSV",1,"0",0.1,5,"sesonality2","Children","0",40.0872536406564
"PEV",1,"0",0.1,5,"sesonality2","Children","0",53.0375410561095
"BSV",1,"0",0.1,5,"sesonality2","Children","0",47.1400218545297
"PEV",1.5,"0",0.1,5,"sesonality2","Children","0",49.8787100912671
"BSV",1.5,"0",0.1,5,"sesonality2","Children","0",45.0923468404728
"PEV",1.5,"0",0.1,5,"sesonality2","Children","0",57.732617125222
"BSV",1.5,"0",0.1,5,"sesonality2","Children","0",54.1436186761568
"PEV",1,"0.25",0.1,5,"sesonality2","Children","0",38.8832207005841
"BSV",1,"0.25",0.1,5,"sesonality2","Children","0",32.4532529225213
"PEV",1,"0.25",0.1,5,"sesonality2","Children","0",45.239369727349
"BSV",1,"0.25",0.1,5,"sesonality2","Children","0",38.7582515634868
"PEV",1.5,"0.25",0.1,5,"sesonality2","Children","0",42.3623138066934
"BSV",1.5,"0.25",0.1,5,"sesonality2","Children","0",35.7704877219313
"PEV",1.5,"0.25",0.1,5,"sesonality2","Children","0",48.6915245609343
"BSV",1.5,"0.25",0.1,5,"sesonality2","Children","0",44.0829035186183
"PEV",1,"0.5",0.1,5,"sesonality2","Children","0",32.5157449937565
"BSV",1,"0.5",0.1,5,"sesonality2","Children","0",27.3613891928007
"PEV",1,"0.5",0.1,5,"sesonality2","Children","0",36.7732740656741
"BSV",1,"0.5",0.1,5,"sesonality2","Children","0",31.8062646425411
"PEV",1.5,"0.5",0.1,5,"sesonality2","Children","0",34.6776104767339
"BSV",1.5,"0.5",0.1,5,"sesonality2","Children","0",30.8815298310036
"PEV",1.5,"0.5",0.1,5,"sesonality2","Children","0",39.7019222299985
"BSV",1.5,"0.5",0.1,5,"sesonality2","Children","0",36.2904287000838
"PEV",1,"0.75",0.1,5,"sesonality2","Children","0",26.2867937201412
"BSV",1,"0.75",0.1,5,"sesonality2","Children","0",24.6276346515061
"PEV",1,"0.75",0.1,5,"sesonality2","Children","0",30.2078285084191
"BSV",1,"0.75",0.1,5,"sesonality2","Children","0",26.9995044575218
"PEV",1.5,"0.75",0.1,5,"sesonality2","Children","0",28.5516643781526
"BSV",1.5,"0.75",0.1,5,"sesonality2","Children","0",27.0650459229217
"PEV",1.5,"0.75",0.1,5,"sesonality2","Children","0",32.6559266706974
"BSV",1.5,"0.75",0.1,5,"sesonality2","Children","0",30.6820484185781
"PEV",1,"1",0.1,5,"sesonality2","Children","0",21.9785561796102
"BSV",1,"1",0.1,5,"sesonality2","Children","0",22.4352995864125
"PEV",1,"1",0.1,5,"sesonality2","Children","0",25.2404235899774
"BSV",1,"1",0.1,5,"sesonality2","Children","0",26.0657345946307
"PEV",1.5,"1",0.1,5,"sesonality2","Children","0",23.4607102559256
"BSV",1.5,"1",0.1,5,"sesonality2","Children","0",24.8103328688364
"PEV",1.5,"1",0.1,5,"sesonality2","Children","0",26.8144922069067
"BSV",1.5,"1",0.1,5,"sesonality2","Children","0",28.3201818736744
"PEV",1,"0",0.3,5,"sesonality2","Children","0",50.0200496471612
"BSV",1,"0",0.3,5,"sesonality2","Children","0",35.9036074707678
"PEV",1,"0",0.3,5,"sesonality2","Children","0",56.8707720268185
"BSV",1,"0",0.3,5,"sesonality2","Children","0",43.4271224504756
"PEV",1.5,"0",0.3,5,"sesonality2","Children","0",53.4651743374044
"BSV",1.5,"0",0.3,5,"sesonality2","Children","0",41.8834598348867
"PEV",1.5,"0",0.3,5,"sesonality2","Children","0",60.2697749632498
"BSV",1.5,"0",0.3,5,"sesonality2","Children","0",51.2665690497408
"PEV",1,"0.25",0.3,5,"sesonality2","Children","0",43.3578465546085
"BSV",1,"0.25",0.3,5,"sesonality2","Children","0",29.8460678953038
"PEV",1,"0.25",0.3,5,"sesonality2","Children","0",49.0720815919143
"BSV",1,"0.25",0.3,5,"sesonality2","Children","0",35.2632264473266
"PEV",1.5,"0.25",0.3,5,"sesonality2","Children","0",46.5445832582665
"BSV",1.5,"0.25",0.3,5,"sesonality2","Children","0",33.2695073279876
"PEV",1.5,"0.25",0.3,5,"sesonality2","Children","0",52.3836240163759
"BSV",1.5,"0.25",0.3,5,"sesonality2","Children","0",41.2309703117662
"PEV",1,"0.5",0.3,5,"sesonality2","Children","0",35.6690785521609
"BSV",1,"0.5",0.3,5,"sesonality2","Children","0",24.0718747898235
"PEV",1,"0.5",0.3,5,"sesonality2","Children","0",40.9635275238245
"BSV",1,"0.5",0.3,5,"sesonality2","Children","0",28.9821323065598
"PEV",1.5,"0.5",0.3,5,"sesonality2","Children","0",38.9378188595745
"BSV",1.5,"0.5",0.3,5,"sesonality2","Children","0",28.0619572411864
"PEV",1.5,"0.5",0.3,5,"sesonality2","Children","0",44.2002865119527
"BSV",1.5,"0.5",0.3,5,"sesonality2","Children","0",33.8285541737777
"PEV",1,"0.75",0.3,5,"sesonality2","Children","0",29.769401276762
"BSV",1,"0.75",0.3,5,"sesonality2","Children","0",22.2384077243107
"PEV",1,"0.75",0.3,5,"sesonality2","Children","0",33.9691519041588
"BSV",1,"0.75",0.3,5,"sesonality2","Children","0",25.9467043279399
"PEV",1.5,"0.75",0.3,5,"sesonality2","Children","0",32.349262042759
"BSV",1.5,"0.75",0.3,5,"sesonality2","Children","0",24.6535206000451
"PEV",1.5,"0.75",0.3,5,"sesonality2","Children","0",36.0187556686918
"BSV",1.5,"0.75",0.3,5,"sesonality2","Children","0",29.5462879490124
