"Degree_resistance","Access","eir","half_life","Vaccine_type","Age","Blood_clerance","Seasonality","time_0.1","time_UP","time_LOW"
0,0.1,5,1,"BSV","Children",0,"Seasonal",NA,NA,NA
0.25,0.1,5,1,"BSV","Children",0,"Seasonal",44.9524848897478,36.013940279803,59.7928881996133
0.5,0.1,5,1,"BSV","Children",0,"Seasonal",25.3634177089919,21.894539434793,30.138421866689
0.75,0.1,5,1,"BSV","Children",0,"Seasonal",19.636838391278,16.9857023180764,23.2686141794962
1,0.1,5,1,"BSV","Children",0,"Seasonal",17.4199158246369,14.5641455051949,21.6687785224868
0,0.1,50,1,"BSV","Children",0,"Seasonal",NA,NA,NA
0.25,0.1,50,1,"BSV","Children",0,"Seasonal",26.1938816935921,23.1112417838859,30.2254314545811
0.5,0.1,50,1,"BSV","Children",0,"Seasonal",16.7172517256868,15.572346613784,18.0438671865922
0.75,0.1,50,1,"BSV","Children",0,"Seasonal",13.689694719131,12.7895594519172,14.7261264943497
1,0.1,50,1,"BSV","Children",0,"Seasonal",12.6074581964302,11.4315835500866,14.0529741122152
0,0.3,5,1,"BSV","Children",0,"Seasonal",NA,NA,NA
0.25,0.3,5,1,"BSV","Children",0,"Seasonal",79.0615185538323,53.385316875114,152.32259098526
0.5,0.3,5,1,"BSV","Children",0,"Seasonal",38.1483919971252,31.0033747267894,49.5729387268191
0.75,0.3,5,1,"BSV","Children",0,"Seasonal",27.8677369066407,23.0260469505551,35.2876826281614
1,0.3,5,1,"BSV","Children",0,"Seasonal",23.723875634413,18.8964740612497,31.864047963191
0,0.3,50,1,"BSV","Children",0,"Seasonal",NA,NA,NA
0.25,0.3,50,1,"BSV","Children",0,"Seasonal",36.6607403840165,32.3401197751001,42.3138446562186
0.5,0.3,50,1,"BSV","Children",0,"Seasonal",22.2098181646343,21.1355105883974,23.3991873119705
0.75,0.3,50,1,"BSV","Children",0,"Seasonal",17.6858976761856,16.6753106032467,18.8268778875689
1,0.3,50,1,"BSV","Children",0,"Seasonal",15.8862563345556,14.4263701925468,17.6748773193055
0,0.1,5,1.5,"BSV","Children",0,"Seasonal",NA,NA,NA
0.25,0.1,5,1.5,"BSV","Children",0,"Seasonal",31.5357002098349,26.5687481939667,38.7867782423117
0.5,0.1,5,1.5,"BSV","Children",0,"Seasonal",21.1789199415606,18.7360015785831,24.3544007114442
0.75,0.1,5,1.5,"BSV","Children",0,"Seasonal",17.8148837732728,15.7163767429897,20.5601486076841
1,0.1,5,1.5,"BSV","Children",0,"Seasonal",16.7465605559937,14.1223466072019,20.5686209818822
0,0.1,50,1.5,"BSV","Children",0,"Seasonal",NA,NA,NA
0.25,0.1,50,1.5,"BSV","Children",0,"Seasonal",22.430429154062,19.5608829212923,26.2866304086149
0.5,0.1,50,1.5,"BSV","Children",0,"Seasonal",15.5164421462397,14.1307356370019,17.2034712355196
0.75,0.1,50,1.5,"BSV","Children",0,"Seasonal",13.3424035615225,12.18583555329,14.7415351946198
1,0.1,50,1.5,"BSV","Children",0,"Seasonal",12.7930575207883,11.3280169828552,14.6933305242499
0,0.3,5,1.5,"BSV","Children",0,"Seasonal",NA,NA,NA
0.25,0.3,5,1.5,"BSV","Children",0,"Seasonal",45.1944209731836,31.775022209614,78.2350833462442
0.5,0.3,5,1.5,"BSV","Children",0,"Seasonal",28.8266152611622,23.2064774081645,38.0388536064331
0.75,0.3,5,1.5,"BSV","Children",0,"Seasonal",23.7111975356249,19.545450146516,30.1336141963829
1,0.3,5,1.5,"BSV","Children",0,"Seasonal",21.9065700613799,17.3882981391411,29.5972956863909
0,0.3,50,1.5,"BSV","Children",0,"Seasonal",NA,NA,NA
0.25,0.3,50,1.5,"BSV","Children",0,"Seasonal",28.8385007455199,23.7278293643284,36.7550742939691
0.5,0.3,50,1.5,"BSV","Children",0,"Seasonal",19.4201624425741,17.3014583724991,22.1301830612986
0.75,0.3,50,1.5,"BSV","Children",0,"Seasonal",16.4647390682886,14.8343268415223,18.4977961328545
1,0.3,50,1.5,"BSV","Children",0,"Seasonal",15.5889327757373,13.6527400833592,18.165048137639
0,0.1,5,1,"AIV","Children",0,"Seasonal",NA,NA,NA
0.25,0.1,5,1,"AIV","Children",0,"Seasonal",83.4745997628301,67.524602845546,109.290009981196
0.5,0.1,5,1,"AIV","Children",0,"Seasonal",44.6042644569112,41.4986212671957,48.2123442954515
0.75,0.1,5,1,"AIV","Children",0,"Seasonal",31.9277730121423,29.8024486453496,34.3795043870202
1,0.1,5,1,"AIV","Children",0,"Seasonal",24.8967118379588,23.1827337490959,26.8843639986306
0,0.1,50,1,"AIV","Children",0,"Seasonal",NA,NA,NA
