"Vaccine_type","half_life","Degree_resistance","Access","eir","seasonality","Age","Blood_coverage","IR"
"PEV",1,0,0.1,5,"sesonality2","Children","0",54.2752589762565
"BSV",1,0,0.1,5,"sesonality2","Children","0",47.5904564728534
"PEV",1,0.25,0.1,5,"sesonality2","Children","0",38.0993495951702
"BSV",1,0.25,0.1,5,"sesonality2","Children","0",28.4953002352095
"PEV",1,0.5,0.1,5,"sesonality2","Children","0",23.4573120068751
"BSV",1,0.5,0.1,5,"sesonality2","Children","0",14.7259966878963
"PEV",1,0.75,0.1,5,"sesonality2","Children","0",11.1727698110898
"BSV",1,0.75,0.1,5,"sesonality2","Children","0",5.422316623514
"PEV",1,1,0.1,5,"sesonality2","Children","0",-1.53798812139642
"BSV",1,1,0.1,5,"sesonality2","Children","0",-1.53798812139642
"PEV",1,0,0.1,5,"sesonality2","Children","0",56.4849314829025
"BSV",1,0,0.1,5,"sesonality2","Children","0",50.3322529162766
"PEV",1,0.25,0.1,5,"sesonality2","Children","0",42.8376097881029
"BSV",1,0.25,0.1,5,"sesonality2","Children","0",33.683443009609
"PEV",1,0.5,0.1,5,"sesonality2","Children","0",28.9750508613666
"BSV",1,0.5,0.1,5,"sesonality2","Children","0",20.38651758916
"PEV",1,0.75,0.1,5,"sesonality2","Children","0",13.8801819234918
"BSV",1,0.75,0.1,5,"sesonality2","Children","0",8.37355370238862
"PEV",1,1,0.1,5,"sesonality2","Children","0",1.66689413769307
"BSV",1,1,0.1,5,"sesonality2","Children","0",1.66689413769307
"PEV",1,0,0.1,5,"sesonality2","Children","0",55.0177167018087
"BSV",1,0,0.1,5,"sesonality2","Children","0",49.4065575843346
"PEV",1,0.25,0.1,5,"sesonality2","Children","0",39.8398935800463
"BSV",1,0.25,0.1,5,"sesonality2","Children","0",32.0537778641736
"PEV",1,0.5,0.1,5,"sesonality2","Children","0",24.6093735891777
"BSV",1,0.5,0.1,5,"sesonality2","Children","0",17.7538471742904
"PEV",1,0.75,0.1,5,"sesonality2","Children","0",12.8650635949649
"BSV",1,0.75,0.1,5,"sesonality2","Children","0",9.31625091429771
"PEV",1,1,0.1,5,"sesonality2","Children","0",1.07419677575169
"BSV",1,1,0.1,5,"sesonality2","Children","0",1.07419677575169
"PEV",1,0,0.1,5,"sesonality1","Children","0",38.5840877824656
"BSV",1,0,0.1,5,"sesonality1","Children","0",28.4627956702965
"PEV",1,0.25,0.1,5,"sesonality1","Children","0",28.9198904615589
"BSV",1,0.25,0.1,5,"sesonality1","Children","0",18.7003272418218
"PEV",1,0.5,0.1,5,"sesonality1","Children","0",20.1930466949501
"BSV",1,0.5,0.1,5,"sesonality1","Children","0",12.0310406542544
"PEV",1,0.75,0.1,5,"sesonality1","Children","0",11.7611959979534
"BSV",1,0.75,0.1,5,"sesonality1","Children","0",6.08100277673436
"PEV",1,1,0.1,5,"sesonality1","Children","0",3.22411164859638
