"Survey","nEPIVaccinations_1","nEPIVaccinations_2","nEPIVaccinations_3","nEPIVaccinations_4","nEPIVaccinations_5","nEPIVaccinations_6","nEPIVaccinations_7","nEPIVaccinations_8","nMassVaccinations_1","nMassVaccinations_2","nMassVaccinations_3","nMassVaccinations_4","nMassVaccinations_5","nMassVaccinations_6","nMassVaccinations_7","nMassVaccinations_8","Incidence"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5350673478867
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8010527945502
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9467409815761
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1634928007431
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3492800743149
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9157764359808
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2249194946743
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.596482536537
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2650483031954
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9467409815761
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3274500696702
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4822727976467
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9685709862208
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3584146152655
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3274500696702
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6056477582363
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.906118404756
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9462472132772
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1939559078524
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8843200396334
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2249194946743
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.596482536537
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8848118903855
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2655209784796
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3579390636611
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9147908474471
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7507818063597
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8214130905938
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5954548269243
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1837265465354
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0376482244032
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3879497182488
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9142980989535
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.945753475555
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3183155287196
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9157764359808
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.8975073540796
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1634928007431
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2782164421737
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.782783712649
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5127569977706
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5655189497151
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6680600712185
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.9284718996749
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.039634618362
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2873509831243
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7518191670537
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9777055271714
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8533564528115
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4726281892494
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5035917760713
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4107010156056
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6366113450582
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1015637095526
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.729989162409
