"Survey","nHost_1","nHost_2","nHost_3","nHost_4","nHost_5","nHost_6","nHost_7","nHost_8","nInfect_1","nInfect_2","nInfect_3","nInfect_4","nInfect_5","nInfect_6","nInfect_7","nInfect_8","nExpectd_1","nExpectd_2","nExpectd_3","nExpectd_4","nExpectd_5","nExpectd_6","nExpectd_7","nExpectd_8","nPatent_1","nPatent_2","nPatent_3","nPatent_4","nPatent_5","nPatent_6","nPatent_7","nPatent_8","nTransmit","nTreatments1_1","nTreatments1_2","nTreatments1_3","nTreatments1_4","nTreatments1_5","nTreatments1_6","nTreatments1_7","nTreatments1_8","nUncomp_1","nUncomp_2","nUncomp_3","nUncomp_4","nUncomp_5","nUncomp_6","nUncomp_7","nUncomp_8","nEPIVaccinations_1","nEPIVaccinations_2","nEPIVaccinations_3","nEPIVaccinations_4","nEPIVaccinations_5","nEPIVaccinations_6","nEPIVaccinations_7","nEPIVaccinations_8","nMassVaccinations_1","nMassVaccinations_2","nMassVaccinations_3","nMassVaccinations_4","nMassVaccinations_5","nMassVaccinations_6","nMassVaccinations_7","nMassVaccinations_8","innoculationsPerAgeGroup_S1","innoculationsPerAgeGroup_R1","innoculationsPerAgeGroup_S2","innoculationsPerAgeGroup_R2","innoculationsPerAgeGroup_S3","innoculationsPerAgeGroup_R3","innoculationsPerAgeGroup_S4","innoculationsPerAgeGroup_R4","innoculationsPerAgeGroup_S5","innoculationsPerAgeGroup_R5","innoculationsPerAgeGroup_S6","innoculationsPerAgeGroup_R6","innoculationsPerAgeGroup_S7","innoculationsPerAgeGroup_R7","innoculationsPerAgeGroup_S8","innoculationsPerAgeGroup_R8","Vector_Nv","inputEIR","simulatedEIR","nMDAs_1","nMDAs_2","nMDAs_3","nMDAs_4","nMDAs_5","nMDAs_6","nMDAs_7","nMDAs_8","nTreatDiagnostics_1","nTreatDiagnostics_2","nTreatDiagnostics_3","nTreatDiagnostics_4","nTreatDiagnostics_5","nTreatDiagnostics_6","nTreatDiagnostics_7","nTreatDiagnostics_8","nInfectByGenotype_S1","nInfectByGenotype_R1","nInfectByGenotype_S2","nInfectByGenotype_R2","nInfectByGenotype_S3","nInfectByGenotype_R3","nInfectByGenotype_S4","nInfectByGenotype_R4","nInfectByGenotype_S5","nInfectByGenotype_R5","nInfectByGenotype_S6","nInfectByGenotype_R6","nInfectByGenotype_S7","nInfectByGenotype_R7","nInfectByGenotype_S8","nInfectByGenotype_R8","nPatentByGenotype_S1","nPatentByGenotype_R1","nPatentByGenotype_S2","nPatentByGenotype_R2","nPatentByGenotype_S3","nPatentByGenotype_R3","nPatentByGenotype_S4","nPatentByGenotype_R4","nPatentByGenotype_S5","nPatentByGenotype_R5","nPatentByGenotype_S6","nPatentByGenotype_R6","nPatentByGenotype_S7","nPatentByGenotype_R7","nPatentByGenotype_S8","nPatentByGenotype_R8","nHostDrugConcNonZero_A1","nHostDrugConcNonZero_B1","nHostDrugConcNonZero_A2","nHostDrugConcNonZero_B2","nHostDrugConcNonZero_A3","nHostDrugConcNonZero_B3","nHostDrugConcNonZero_A4","nHostDrugConcNonZero_B4","nHostDrugConcNonZero_A5","nHostDrugConcNonZero_B5","nHostDrugConcNonZero_A6","nHostDrugConcNonZero_B6","nHostDrugConcNonZero_A7","nHostDrugConcNonZero_B7","nHostDrugConcNonZero_A8","nHostDrugConcNonZero_B8","sumLogDrugConcNonZero_A1","sumLogDrugConcNonZero_B1","sumLogDrugConcNonZero_A2","sumLogDrugConcNonZero_B2","sumLogDrugConcNonZero_A3","sumLogDrugConcNonZero_B3","sumLogDrugConcNonZero_A4","sumLogDrugConcNonZero_B4","sumLogDrugConcNonZero_A5","sumLogDrugConcNonZero_B5","sumLogDrugConcNonZero_A6","sumLogDrugConcNonZero_B6","sumLogDrugConcNonZero_A7","sumLogDrugConcNonZero_B7","sumLogDrugConcNonZero_A8","sumLogDrugConcNonZero_B8","Incidence"
1,4785,49,1625,3233,3149,3072,2271,81816,486,9,364,937,959,1082,822,50342,1112.13,28.8904,996.184,2726.42,3000.97,3032.94,2263.05,81811.8,247,3,135,351,356,413,306,14652,0.0164197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,264,5,5,214,191,534,527,557,546,629,627,479,484,33160,32831,96,89,0,2,53,51,128,117,130,141,157,159,108,113,4887,4754,10,100,0,6,13,103,19,239,27,229,14,217,12,177,281,3392,-258.083,-409.227,0,-25.6157,-292.256,-477.569,-383.659,-1051.39,-558.721,-1011.36,-324.581,-1006.91,-281.125,-809.65,-6574.94,-15747.9,0
2,4785,49,1625,3233,3149,3072,2271,81816,465,11,358,901,926,1053,791,49439,1075.35,28.9181,994.281,2718.16,2998.33,3032.18,2262.87,81811.7,221,1,122,326,306,369,256,12937,0.0138412,4,0,3,6,8,6,2,73,16,0,10,19,21,19,14,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.30662,6.28699,0.0692584,0.0690428,2.44241,2.43481,5.64649,5.62892,6.35576,6.33597,6.81711,6.79589,5.43181,5.41491,409.032,407.759,211405,0.00474654,0.0117015,0,0,0,0,0,0,0,0,4,0,3,6,8,6,2,74,257,253,5,7,212,185,509,506,537,523,604,608,458,464,32238,31919,76,77,1,0,47,31,101,117,113,106,131,128,86,92,4078,4078,11,97,1,1,9,88,20,218,29,215,12,194,13,156,233,2973,-190.824,-395.684,-12.2847,0.267844,-225.676,-386.175,-435.071,-992.97,-662.169,-947.559,-261.88,-934.256,-234.278,-709.555,-5236,-13954.4,5.44434667839859
3,4785,49,1625,3232,3149,3073,2271,81816,435,15,347,872,901,1026,768,48396,1038.39,28.9396,992.575,2708.63,2995.46,3032.36,2262.68,81811.7,184,6,109,273,273,327,232,11487,0.0116728,1,0,2,6,4,8,3,68,7,0,5,17,23,13,5,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.47774,5.44039,0.0601305,0.0597205,2.11923,2.10479,4.90081,4.8674,5.51795,5.48033,5.91861,5.87826,4.71594,4.68379,355.13,352.709,213264,0.00433854,0.0101405,0,0,0,0,0,0,0,0,1,0,2,6,4,8,3,69,236,239,8,8,208,173,491,484,522,500,591,591,442,455,31295,31035,71,67,3,1,43,35,87,105,96,102,107,122,70,79,3540,3509,11,87,1,4,7,78,15,191,22,193,12,165,10,130,185,2581,-270.455,-375.54,-31.6024,-10.7163,-162.341,-338.393,-355.836,-904.201,-540.884,-850.555,-262.007,-796.771,-278.076,-609.698,-4460.8,-12382.6,3.84953805543335
4,4785,49,1625,3231,3150,3074,2270,81816,413,12,344,850,870,996,738,47412,1001.36,28.9552,990.997,2698.61,2993.42,3032.5,2261.48,81811.6,176,3,98,234,265,280,203,10063,0.00987695,3,0,0,6,4,3,5,60,7,1,8,17,12,11,10,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.73557,4.69117,0.0519944,0.0515069,1.8336,1.81641,4.23645,4.19672,4.77279,4.72804,5.12113,5.07311,4.07611,4.0379,307.074,304.195,216195,0.00402303,0.00875715,0,0,0,0,0,0,0,0,3,0,0,6,4,3,5,61,220,228,9,3,204,174,473,473,500,475,570,571,418,442,30384,30070,57,59,1,0,35,27,82,78,86,90,94,97,62,65,3042,2990,4,69,1,4,5,77,12,166,11,161,15,148,5,115,141,2206,-107.045,-319.145,-31.6749,-8.85089,-119.079,-354.362,-261.301,-791.478,-289.92,-732.864,-297.573,-691.576,-99.236,-584.512,-3155.23,-10672.1,3.62956445226573
5,4785,49,1625,3230,3151,3073,2271,81816,391,10,339,810,842,960,720,46253,964.32,28.9654,989.521,2688.29,2991.27,3030.64,2262.27,81811.5,169,3,99,221,217,245,175,8847,0.00826887,0,0,1,3,4,5,2,67,11,0,6,8,12,8,6,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0763,4.03699,0.0447371,0.0443058,1.57767,1.56246,3.64396,3.60882,4.10796,4.06835,4.40493,4.36246,3.50713,3.47331,264.22,261.672,220353,0.00378028,0.00753383,0,0,0,0,0,0,0,0,0,0,1,3,4,5,2,67,206,217,7,4,203,168,455,448,476,457,543,552,404,424,29394,29045,48,62,1,0,35,27,63,72,80,68,72,83,56,64,2651,2596,4,59,0,6,2,71,12,140,7,137,11,129,9,101,128,1903,-67.6932,-279.359,0,-34.1257,-63.8391,-345.511,-261.742,-657.442,-143,-638.669,-309.453,-625.382,-166.948,-496.168,-2898.13,-9369.92,2.80466344038715
6,4785,49,1625,3229,3150,3075,2271,81816,373,10,336,788,800,923,703,45073,927.369,28.9703,988.141,2677.63,2987.14,3031.68,2262.04,81811.4,171,2,95,193,199,209,155,7847,0.00701743,3,0,2,5,4,1,3,55,10,0,2,9,9,14,10,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.50012,3.46919,0.0384217,0.0380822,1.35495,1.34298,3.12964,3.10199,3.5269,3.49574,3.78421,3.75077,3.01334,2.98672,226.921,224.916,225971,0.00359511,0.00647292,0,0,0,0,0,0,0,0,4,0,2,5,4,1,4,55,189,213,6,5,202,165,438,433,450,434,516,529,391,412,28367,28050,55,52,2,0,32,32,68,70,79,64,69,64,52,49,2326,2295,3,46,0,1,1,63,9,120,8,122,7,107,8,79,127,1629,-95.6093,-223.785,0,-2.88294,-11.7094,-311.747,-226.115,-585.842,-174.265,-575.037,-123.156,-507.312,-214.712,-371.209,-2727.95,-7998.08,2.96964364276287
7,4785,49,1625,3230,3150,3074,2271,81816,350,11,328,766,772,886,683,43851,890.574,28.9701,986.799,2668.44,2983.97,3029.77,2261.82,81811.3,155,3,97,191,181,189,151,7125,0.00602841,1,0,0,1,5,2,2,41,10,0,4,6,10,13,8,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00761,2.97887,0.0330083,0.0326929,1.16406,1.15294,2.68782,2.66214,3.03102,3.00206,3.25215,3.22108,2.58768,2.56296,194.949,193.086,233376,0.00345573,0.00555892,0,0,0,0,0,0,0,0,1,0,0,1,5,2,2,41,178,200,6,6,193,162,430,413,435,414,490,504,374,397,27336,27100,47,55,0,0,27,29,59,60,61,54,51,63,49,52,2190,2144,3,42,0,1,3,54,8,100,8,97,6,90,5,68,121,1360,-36.0525,-204.049,0,-7.99815,-55.1944,-262.624,-154.87,-472.028,-174.274,-432.01,-170.554,-435.175,-98.9709,-315.731,-2769.06,-6568.37,2.80466344038715
8,4785,49,1625,3230,3150,3074,2271,81816,331,12,323,752,744,854,653,42656,854,28.9647,985.528,2658.14,2980.67,3028.82,2261.58,81811.2,143,3,82,181,157,179,140,6684,0.00521687,4,0,0,3,3,3,2,35,3,0,7,7,8,14,12,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58469,2.56009,0.0283669,0.0280969,1.00036,0.990838,2.30985,2.28787,2.6057,2.5809,2.79302,2.76643,2.22478,2.20361,167.536,165.942,242997,0.00335293,0.00477735,0,0,0,0,0,0,0,0,4,0,0,3,3,3,2,35,170,187,5,8,188,158,419,405,417,396,475,485,356,374,26347,26121,49,40,1,0,25,23,65,62,57,44,57,63,49,56,2023,2044,4,37,0,0,2,45,5,84,10,83,3,67,5,59,96,1164,-107.095,-185.371,0,0,-63.285,-236.5,-138.764,-413.127,-218.962,-341.277,-55.1514,-295.72,-118.377,-276.934,-2250.29,-5659.25,2.80466344038715
9,4785,49,1625,3230,3149,3075,2271,81816,307,12,318,735,707,823,635,41363,817.709,28.954,984.277,2647.81,2976.25,3028.82,2261.34,81811.1,108,5,79,181,134,173,124,6172,0.00484316,2,0,1,8,5,3,2,46,6,0,2,16,12,12,12,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23054,2.21291,0.0244852,0.0242916,0.863487,0.856661,1.99375,1.97799,2.24846,2.23068,2.4124,2.39333,1.91953,1.90435,144.611,143.468,255395,0.00327943,0.00412696,0,0,0,0,0,0,0,0,2,0,1,8,5,3,2,46,154,178,5,8,182,159,406,395,397,370,454,470,334,365,25261,25107,42,28,0,4,28,24,60,62,48,45,52,58,40,45,1940,1956,5,33,0,0,0,36,4,69,8,80,5,60,4,51,76,981,-80.3194,-144.57,0,0,0,-195.158,-67.5139,-325.712,-195.147,-357.113,-98.7897,-269.164,-86.822,-239.007,-1733.18,-4737.72,3.2996040475143
10,4785,49,1625,3230,3150,3074,2271,81816,281,13,315,693,682,772,610,40155,781.765,28.9377,983.045,2637.18,2973.67,3026.84,2261.1,81811,105,3,83,165,125,159,124,5728,0.00476247,2,0,3,5,4,4,5,58,3,1,5,8,10,6,3,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94344,1.9255,0.0213426,0.0211456,0.752187,0.745243,1.73787,1.72183,1.95924,1.94116,2.10207,2.08267,1.67389,1.65844,126.051,124.887,271296,0.00322951,0.00359489,0,0,0,0,0,0,0,0,2,0,3,5,4,4,5,58,142,161,6,9,178,159,381,370,377,359,424,433,313,351,24326,24171,34,25,2,1,33,27,54,58,53,43,56,50,28,46,1806,1851,6,29,0,0,1,33,11,60,8,76,6,59,4,39,81,851,-152.474,-118.944,0,0,-11.6762,-189.272,-191.268,-240.149,-155.11,-352.495,-130.469,-270.668,-87.2367,-160.684,-1674.68,-4022.13,1.97976242850858
