"Survey","nMassVaccinations_1","nMassVaccinations_2","nMassVaccinations_3","nMassVaccinations_4","nMassVaccinations_5","nMassVaccinations_6","nMassVaccinations_7","nMassVaccinations_8","Incidence"
1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,13.81
3,0,0,0,0,0,0,0,0,13.69
4,0,0,0,0,0,0,0,0,13.59
5,0,0,0,0,0,0,0,0,14.16
6,0,0,0,0,0,0,0,0,13.8
7,0,0,0,0,0,0,0,0,13.4
8,0,0,0,0,0,0,0,0,13.91
9,0,0,0,0,0,0,0,0,13.68
10,0,0,0,0,0,0,0,0,13.41
11,0,0,0,0,0,0,0,0,13.4
12,0,0,0,0,0,0,0,0,13.15
13,0,0,0,0,0,0,0,0,13.69
14,0,0,0,0,0,0,0,0,13.61
15,0,0,0,0,0,0,0,0,13.53
16,0,0,0,0,0,0,0,0,13.72
17,0,0,0,0,0,0,0,0,13.44
18,0,0,0,0,0,0,0,0,14.22
19,0,0,0,0,0,0,0,0,13.78
20,0,0,0,0,0,0,0,0,13.22
21,0,0,0,0,0,0,0,0,13.53
22,0,0,0,0,0,0,0,0,13.63
23,0,0,0,0,0,0,0,0,13.32
24,0,0,0,0,0,0,0,0,13.65
25,0,0,0,0,0,0,0,0,13.36
26,0,0,0,0,0,0,0,0,13.58
27,0,0,0,0,0,0,0,0,13.59
28,0,0,0,0,0,0,0,0,13.37
29,0,0,0,0,0,0,0,0,13.89
30,0,0,0,0,0,0,0,0,13.96
31,0,0,0,0,0,0,0,0,14.04
32,0,0,0,0,0,0,0,0,13.58
33,0,0,0,0,0,0,0,0,13.47
34,0,0,0,0,0,0,0,0,13.41
35,0,0,0,0,0,0,0,0,13.75
36,0,0,0,0,0,0,0,0,13.01
37,0,0,0,0,0,0,0,0,13.26
38,0,0,0,0,0,0,0,0,14.44
39,0,0,0,0,0,0,0,0,13.75
40,0,0,0,0,0,0,0,0,13.75
41,0,0,0,0,0,0,0,0,14.18
42,0,0,0,0,0,0,0,0,13.49
43,0,0,0,0,0,0,0,0,13.59
44,0,0,0,0,0,0,0,0,13.83
45,0,0,0,0,0,0,0,0,14.36
46,0,0,0,0,0,0,0,0,13.16
47,0,0,0,0,0,0,0,0,13.25
48,0,0,0,0,0,0,0,0,13.71
49,0,0,0,0,0,0,0,0,13.02
50,0,0,0,0,0,0,0,0,13.45
51,0,0,0,0,0,0,0,0,13.77
52,0,0,0,0,0,0,0,0,13.72
53,0,0,0,0,0,0,0,0,13.56
54,0,0,0,0,0,0,0,0,14.05
55,0,0,0,0,0,0,0,0,13.97
56,0,0,0,0,0,0,0,0,12.93
57,0,0,0,0,0,0,0,0,13.39
58,0,0,0,0,0,0,0,0,13.13
59,0,0,0,0,0,0,0,0,13.65
60,0,0,0,0,0,0,0,0,13.51
61,0,0,0,0,0,0,0,0,13.68
62,0,0,0,0,0,0,0,0,13.58
63,0,0,0,0,0,0,0,0,13.42
64,0,0,0,0,0,0,0,0,13.58
65,0,0,0,0,0,0,0,0,14.05
66,0,0,0,0,0,0,0,0,13.4
67,0,0,0,0,0,0,0,0,13.28
68,0,0,0,0,0,0,0,0,13.52
69,0,0,0,0,0,0,0,0,13.68
70,0,0,0,0,0,0,0,0,14.04
71,0,0,0,0,0,0,0,0,13.93
72,0,0,0,0,0,0,0,0,13.82
73,0,0,0,0,0,0,0,0,13.95
74,0,0,0,0,0,0,0,0,13.54
75,0,0,0,0,0,0,0,0,14.04
76,0,0,0,0,0,0,0,0,13.3
77,0,0,0,0,0,0,0,0,13.83
78,0,0,0,0,0,0,0,0,14.01
