"Setting","Factor","First","Effect","Coverage_reduced","Seasonality","Vaccine_Type","SPAQ","half_life_short","deployment"
"Spread_sesonality2_Coverage_reduced_0.2","Coverage",0.0515509030458461,"First","0.2","sesonality2","BSV","0",0,"Seasonal"
"Spread_sesonality2_Coverage_reduced_0.2","initialEfficacy",0.0546156666171252,"First","0.2","sesonality2","BSV","0",0,"Seasonal"
"Spread_sesonality2_Coverage_reduced_0.2","Degree_resistance",0.589368767909241,"First","0.2","sesonality2","BSV","0",0,"Seasonal"
"Spread_sesonality2_Coverage_reduced_0.2","Access",0.0903425343623744,"First","0.2","sesonality2","BSV","0",0,"Seasonal"
"Spread_sesonality2_Coverage_reduced_0.2","eir",0.175103592436447,"First","0.2","sesonality2","BSV","0",0,"Seasonal"
"Spread_sesonality2_Coverage_reduced_0.2","half_life",0.0390185356289666,"First","0.2","sesonality2","BSV","0",0,"Seasonal"
"Spread_sesonality2_Coverage_reduced_0.2","Coverage",0.0590601301847148,"Total","0.2","sesonality2","BSV","0",0,"Seasonal"
"Spread_sesonality2_Coverage_reduced_0.2","initialEfficacy",0.061387161909603,"Total","0.2","sesonality2","BSV","0",0,"Seasonal"
"Spread_sesonality2_Coverage_reduced_0.2","Degree_resistance",0.609135958735942,"Total","0.2","sesonality2","BSV","0",0,"Seasonal"
"Spread_sesonality2_Coverage_reduced_0.2","Access",0.0951653725808385,"Total","0.2","sesonality2","BSV","0",0,"Seasonal"
"Spread_sesonality2_Coverage_reduced_0.2","eir",0.197089947493335,"Total","0.2","sesonality2","BSV","0",0,"Seasonal"
"Spread_sesonality2_Coverage_reduced_0.2","half_life",0.0373882499049631,"Total","0.2","sesonality2","BSV","0",0,"Seasonal"
"Spread_sesonality2_Coverage_reduced_0","Coverage",0.0500036968289499,"First","0","sesonality2","BSV","0",0,"Seasonal"
"Spread_sesonality2_Coverage_reduced_0","initialEfficacy",0.06019447782365,"First","0","sesonality2","BSV","0",0,"Seasonal"
"Spread_sesonality2_Coverage_reduced_0","Degree_resistance",0.600322062167559,"First","0","sesonality2","BSV","0",0,"Seasonal"
"Spread_sesonality2_Coverage_reduced_0","Access",0.0852264615816712,"First","0","sesonality2","BSV","0",0,"Seasonal"
"Spread_sesonality2_Coverage_reduced_0","eir",0.174617921750742,"First","0","sesonality2","BSV","0",0,"Seasonal"
"Spread_sesonality2_Coverage_reduced_0","half_life",0.0296353798474281,"First","0","sesonality2","BSV","0",0,"Seasonal"
"Spread_sesonality2_Coverage_reduced_0","Coverage",0.0604577832094837,"Total","0","sesonality2","BSV","0",0,"Seasonal"
"Spread_sesonality2_Coverage_reduced_0","initialEfficacy",0.0631473951975338,"Total","0","sesonality2","BSV","0",0,"Seasonal"
"Spread_sesonality2_Coverage_reduced_0","Degree_resistance",0.611826636066388,"Total","0","sesonality2","BSV","0",0,"Seasonal"
